Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
18373,Flowers for Algernon,Daniel Keyes,"Keyes, Daniel",,"=""0156030306""","=""9780156030304""",4,4.04,Mariner Books,Paperback,311,2005,1958,,2011/12/17,,,read,,,,,,,0,,,,,
190999,Way Station,Clifford D. Simak,"Simak, Clifford D.",,"=""0020248717""","=""9780020248712""",0,4.02,Collier Books,Paperback,210,1992,1963,,2011/11/19,"to-read, ab-src-audible-av, ab-meta-exists, z-len-05-10-hours, ku-cheap","to-read (#65), ab-src-audible-av (#19), ab-meta-exists (#34), z-len-05-10-hours (#33), ku-cheap (#62)",to-read,,,Length: 07 hrs and 05 mins<br/>Narrated By Eric Michael Summerer,,,,0,,,,,
9799608,The Graveyard Book,Neil Gaiman,"Gaiman, Neil",,"=""1456107607""","=""9781456107604""",4,4.11,Recorded Books ,Audiobook,8,2011,2008,2012/07/03,2011/11/19,"g-urban-fantasy, g-ya","g-urban-fantasy (#4), g-ya (#41)",read,"Was so much better than I expected it to be - thought that it would be a bit too juvenile, but it was a very nice read.",,,,,,0,,,,,
77879,"The Sky People (Lords of Creation, #1)",S.M. Stirling,"Stirling, S.M.",,"=""0765314886""","=""9780765314888""",0,3.47,Tor Books,Hardcover,301,2006,2001,,2011/11/19,"to-read, ab-meta-exists, ab-src-audible-av, z-series-1, ku-undetermined","to-read (#64), ab-meta-exists (#7), ab-src-audible-av (#60), z-series-1 (#32), ku-undetermined (#17)",to-read,,,,,,,0,,,,,
101588,The Best Time Travel Stories of the 20th Century,Harry Turtledove,"Turtledove, Harry","Martin H. Greenberg, Poul Anderson, R.A. Lafferty, Larry Niven, Joe Haldeman, Jack Dann, Connie Willis, Robert Silverberg, John Kessel, Charles Sheffield, Nancy Kress, Ursula K. Le Guin, Theodore Sturgeon, Henry Kuttner, Arthur C. Clarke, Jack Finney, Ray Bradbury, Richard Matheson, L. Sprague de Camp","=""0345460944""","=""9780345460943""",4,3.81,Del Rey,Paperback,448,2004,2004,2004/10/24,2011/11/02,g-time-travel,g-time-travel (#20),read,,,read dates are approximate,,,,0,,,,,
243862,Bones of the Earth,Michael Swanwick,"Swanwick, Michael",,"=""0380812894""","=""9780380812899""",0,3.49,HarperTorch,Paperback,383,2003,2002,,2011/11/02,"to-read, g-time-travel, ab-meta-exists, ab-src-audible-av, z-len-10-20-hours, ku-undetermined","to-read (#63), g-time-travel (#19), ab-meta-exists (#111), ab-src-audible-av (#108), z-len-10-20-hours (#31), ku-undetermined (#16)",to-read,,,Length: 11 hrs and 18 mins<br/>Narrated By Kevin Pariseau,,,,0,,,,,
6352501,Time Travelers Never Die,Jack McDevitt,"McDevitt, Jack",,"=""0441017630""","=""9780441017638""",0,3.65,Ace Hardcover,Hardcover,371,2009,2009,,2011/11/02,"to-read, g-time-travel, ab-meta-exists, ab-src-audible-av, z-len-10-20-hours, ku-undetermined","to-read (#62), g-time-travel (#18), ab-meta-exists (#94), ab-src-audible-av (#92), z-len-10-20-hours (#30), ku-undetermined (#15)",to-read,,,Length: 13 hrs and 22 mins<br/>Narrated By Paul Boehmer,,,,0,,,,,
637400,No Enemy But Time,Michael Bishop,"Bishop, Michael",,"=""057507096X""","=""9780575070967""",0,3.50,VGSF,Paperback,397,2000,1982,,2011/10/24,"to-read, zz-ab-meta-none-all-dates, zz-ab-meta-none-201608","to-read (#61), zz-ab-meta-none-all-dates (#32), zz-ab-meta-none-201608 (#35)",to-read,,,,,,,0,,,,,
12970580,Anansi Boys,Neil Gaiman,"Gaiman, Neil",Lenny Henry,"=""""","=""""",4,3.99,Harper Audio,Audible Audio,11,2005,2005,2011/10/16,2011/10/03,"g-urban-fantasy, z-len-10-20-hours, z-read-src-un","g-urban-fantasy (#5), z-len-10-20-hours (#70), z-read-src-un (#25)",read,I enjoyed this quite a bit - very much in the spirit of Hitchhiker's Guide to the Galaxy.,,Length: 10 hrs and 08 mins<br/>Narrated By Lenny Henry,,,,0,,,,,
4921,"Three Men in a Boat (Three Men, #1)",Jerome K. Jerome,"Jerome, Jerome K.",,"=""0140621334""","=""9780140621334""",3,3.91,Penguin Books,Mass Market Paperback,184,1994,1889,,2011/09/03,"did-not-finish, z-series-1","did-not-finish (#11), z-series-1 (#31)",did-not-finish,"May 29, 2015<br/>This is an unusual one for me - I don't mind older books for the most part (this one is 125+ years old), and the part that I read was actually pretty funny. But this is a book best read with eyeballs, and didn't work for me as an audiobook as much; partly because of the structure (bullet point summary as a chapter heading), and partly because the British narrator was a bit difficult to follow. <br/>I wouldn't mind coming back and trying this one again when I've got time to actually read printed words again. ",,,,,,0,,,,,
